[2026-09-24 19:57:05] [UI-PHASE +8.01s] menus begin
[2026-09-24 19:57:05] [UI-PHASE +8.03s]   form.Show begin (1280x800)
[2026-09-24 19:57:05] [UI-PHASE +8.07s]   form.Show returned
[2026-09-24 19:57:06] [UI-PHASE +8.12s]   form layout set · DoEvents begin
[2026-09-24 19:57:06] [UI-PHASE +8.15s]   form DoEvents returned · client={Width=1920, Height=1200}
[2026-09-24 19:57:06] [UI-PHASE +8.15s] menus form ready
[2026-09-24 19:57:06] [UI-PHASE +8.16s]   menu-export PerformClick begin
[2026-09-24 19:57:06] [UI-PHASE +8.19s]   menu-export PerformClick+DoEvents returned
[2026-09-24 19:57:06] [UI-PHASE +8.19s]   menu-export popup DrawToBitmap begin · {Width=372, Height=138}
[2026-09-24 19:57:06] [UI-PHASE +8.20s]   menu-export popup DrawToBitmap returned
[2026-09-24 19:57:06] [UI-PHASE +8.20s]   RenderForm PerformLayout begin
[2026-09-24 19:57:06] [UI-PHASE +8.20s]   RenderForm DoEvents begin
[2026-09-24 19:57:06] [UI-PHASE +8.20s]   RenderForm DrawToBitmap begin · {Width=1920, Height=1200}
[2026-09-24 19:57:06] [UI-PHASE +8.24s]   RenderForm DrawToBitmap returned
[2026-09-24 19:57:06] [UI-PHASE +8.28s]   menu-export popup Close begin
[2026-09-24 19:57:06] [UI-PHASE +8.29s]   menu-export popup Close returned
[2026-09-24 19:57:06] [UI-PHASE +8.29s]   menu-cleanup PerformClick begin
[2026-09-24 19:57:06] [UI-PHASE +8.39s]   menu-cleanup PerformClick+DoEvents returned
[2026-09-24 19:57:06] [UI-PHASE +8.40s]   menu-cleanup popup DrawToBitmap begin · {Width=372, Height=257}
[2026-09-24 19:57:06] [UI-PHASE +8.40s]   menu-cleanup popup DrawToBitmap returned
[2026-09-24 19:57:06] [UI-PHASE +8.40s]   RenderForm PerformLayout begin
[2026-09-24 19:57:06] [UI-PHASE +8.40s]   RenderForm DoEvents begin
[2026-09-24 19:57:06] [UI-PHASE +8.40s]   RenderForm DrawToBitmap begin · {Width=1920, Height=1106}
[2026-09-24 19:57:06] [UI-PHASE +8.44s]   RenderForm DrawToBitmap returned
[2026-09-24 19:57:06] [UI-PHASE +8.47s]   menu-cleanup popup Close begin
[2026-09-24 19:57:06] [UI-PHASE +8.48s]   menu-cleanup popup Close returned
[2026-09-24 19:57:06] [UI-PHASE +8.48s] menus done
